manufacturer;product;HP-Type;compressor type;refrigerant;source composition;load composition;pressure source;pressure load;compute source;flow type source;flow type load
eltron_stiebel;WPL_10;w-w;scroll;R410a;INCOMP::AN[0.2];water;301325;201325;0;kg/s;kg/s
HP-Data;;;;;;;;;;;
Time Stamp;m_s;m_l;T_s;T_l;q_source;q_load;w_el;comment;;;
;0.46;0.31;-5;35;;8.3225;;;;;
;0.46;0.31;-4;35;;8.5832;;;;;
;0.46;0.31;-3;35;;8.8469;;;;;
;0.46;0.31;-2;35;;9.1136;;;;;
;0.46;0.31;-1;35;;9.3833;;;;;
;0.46;0.31;0;35;;9.656;;;;;
;0.46;0.31;1;35;;9.9317;;;;;
;0.46;0.31;2;35;;10.2104;;;;;
;0.46;0.31;3;35;;10.4921;;;;;
;0.46;0.31;4;35;;10.7768;;;;;
;0.46;0.31;5;35;;11.0645;;;;;
;0.46;0.31;6;35;;11.3552;;;;;
;0.46;0.31;7;35;;11.6489;;;;;
;0.46;0.31;8;35;;11.9456;;;;;
;0.46;0.31;9;35;;12.2453;;;;;
;0.46;0.31;10;35;;12.548;;;;;
;0.46;0.31;11;35;;12.8537;;;;;
;0.46;0.31;12;35;;13.1624;;;;;
;0.46;0.31;13;35;;13.4741;;;;;
;0.46;0.31;14;35;;13.7888;;;;;
;0.46;0.31;15;35;;14.1065;;;;;
;0.46;0.31;16;35;;14.4272;;;;;
;0.46;0.31;17;35;;14.7509;;;;;
;0.46;0.31;18;35;;15.0776;;;;;
;0.46;0.31;19;35;;15.4073;;;;;
;0.46;0.31;20;35;;15.74;;;;;
;0.46;0.31;-5;45;;7.841;;;;;
;0.46;0.31;-4;45;;8.0932;;;;;
;0.46;0.31;-3;45;;8.3464;;;;;
;0.46;0.31;-2;45;;8.6006;;;;;
;0.46;0.31;-1;45;;8.8558;;;;;
;0.46;0.31;0;45;;9.112;;;;;
;0.46;0.31;1;45;;9.3692;;;;;
;0.46;0.31;2;45;;9.6274;;;;;
;0.46;0.31;3;45;;9.8866;;;;;
;0.46;0.31;4;45;;10.1468;;;;;
;0.46;0.31;5;45;;10.408;;;;;
;0.46;0.31;6;45;;10.6702;;;;;
;0.46;0.31;7;45;;10.9334;;;;;
;0.46;0.31;8;45;;11.1976;;;;;
;0.46;0.31;9;45;;11.4628;;;;;
;0.46;0.31;10;45;;11.729;;;;;
;0.46;0.31;11;45;;11.9962;;;;;
;0.46;0.31;12;45;;12.2644;;;;;
;0.46;0.31;13;45;;12.5336;;;;;
;0.46;0.31;14;45;;12.8038;;;;;
;0.46;0.31;15;45;;13.075;;;;;
;0.46;0.31;16;45;;13.3472;;;;;
;0.46;0.31;17;45;;13.6204;;;;;
;0.46;0.31;18;45;;13.8946;;;;;
;0.46;0.31;19;45;;14.1698;;;;;
;0.46;0.31;20;45;;14.446;;;;;
;0.46;0.31;-5;55;;7.3547;;;;;
;0.46;0.31;-4;55;;7.6158;;;;;
;0.46;0.31;-3;55;;7.8773;;;;;
;0.46;0.31;-2;55;;8.1392;;;;;
;0.46;0.31;-1;55;;8.4015;;;;;
;0.46;0.31;0;55;;8.6642;;;;;
;0.46;0.31;1;55;;8.9273;;;;;
;0.46;0.31;2;55;;9.1908;;;;;
;0.46;0.31;3;55;;9.4547;;;;;
;0.46;0.31;4;55;;9.719;;;;;
;0.46;0.31;5;55;;9.9837;;;;;
;0.46;0.31;6;55;;10.2488;;;;;
;0.46;0.31;7;55;;10.5143;;;;;
;0.46;0.31;8;55;;10.7802;;;;;
;0.46;0.31;9;55;;11.0465;;;;;
;0.46;0.31;10;55;;11.3132;;;;;
;0.46;0.31;11;55;;11.5803;;;;;
;0.46;0.31;12;55;;11.8478;;;;;
;0.46;0.31;13;55;;12.1157;;;;;
;0.46;0.31;14;55;;12.384;;;;;
;0.46;0.31;15;55;;12.6527;;;;;
;0.46;0.31;16;55;;12.9218;;;;;
;0.46;0.31;17;55;;13.1913;;;;;
;0.46;0.31;18;55;;13.4612;;;;;
;0.46;0.31;19;55;;13.7315;;;;;
;0.46;0.31;20;55;;14.0022;;;;;
;0.46;0.31;-5;65;;6.8156;;;;;
;0.46;0.31;-4;65;;7.0389;;;;;
;0.46;0.31;-3;65;;7.2658;;;;;
;0.46;0.31;-2;65;;7.4963;;;;;
;0.46;0.31;-1;65;;7.7304;;;;;
;0.46;0.31;0;65;;7.9681;;;;;
;0.46;0.31;1;65;;8.2094;;;;;
;0.46;0.31;2;65;;8.4543;;;;;
;0.46;0.31;3;65;;8.7028;;;;;
;0.46;0.31;4;65;;8.9549;;;;;
;0.46;0.31;5;65;;9.2106;;;;;
;0.46;0.31;6;65;;9.4699;;;;;
;0.46;0.31;7;65;;9.7328;;;;;
;0.46;0.31;8;65;;9.9993;;;;;
;0.46;0.31;9;65;;10.2694;;;;;
;0.46;0.31;10;65;;10.5431;;;;;
;0.46;0.31;11;65;;10.8204;;;;;
;0.46;0.31;12;65;;11.1013;;;;;
;0.46;0.31;13;65;;11.3858;;;;;
;0.46;0.31;14;65;;11.6739;;;;;
;0.46;0.31;15;65;;11.9656;;;;;
;0.46;0.31;16;65;;12.2609;;;;;
;0.46;0.31;17;65;;12.5598;;;;;
;0.46;0.31;18;65;;12.8623;;;;;
;0.46;0.31;19;65;;13.1684;;;;;
;0.46;0.31;20;65;;13.4781;;;;;
